"","AlignID","Factor","tmean","FoundIn","6_Extraction_blank_1_polar","12_QC_polar","13_QC_polar","23_QC_polar","35_QC_polar","44_QC_polar","45_QC_polar","14_Leaves_polar","15_Roots_polar","16_Stem_bark_polar","17_Leaves_2_polar","18_Roots_3_polar","19_Stem_bark_3_polar","20_Leaves_3_polar","21_Roots_1_polar","22_Stem_bark_polar","24_Leaves_polar","25_Roots_polar","26_Leaves_4_polar","27_Stem_bark_4_polar","29_Stem_bark_5_polar","30_Stem_bark_2_polar","31_Stem_bark_1_polar","32_Roots_polar","33_Leaves_polar","34_Stem_bark_polar","36_Leaves_1_polar","37_Roots_2_polar","38_Roots_4_polar","39_Leaves_5_polar","40_Roots_5_polar","41_Stem_bark_polar","42_Leaves_polar","43_Roots_polar"
"1",1,"Factor #1",37.5156,34,34.63296,1220,965,1369.041,1424.851,1307.111,1254.189,4080,90.91697,176.6088,3551,30.5346,174.4868,3312,29.83313,138.716,4100,81.92585,4411,100.4987,91.33732,113.6289,249.839,30.76769,3125,241.0408,3958,106.9682,41.98897,2971,47.78972,196.0588,4265.433,50.03396
"2",2,"Factor #2",37.576,34,284.5032,435.696,536.4922,579.6809,541.2766,470.1367,3.44323e-06,370.3596,278.4955,892.2864,463.5689,156.3631,1176.287,190.9227,118.047,1065,550.8701,390.8156,475.418,686.0791,1247.845,756.1231,918.8696,335.6637,500.5903,1165,420.5671,111.8514,566.4147,468.2537,229.807,1138,482.3561,372.1422
"3",3,"Factor #3",37.8599,34,14.46705,131.6502,272.6996,264.9339,419.6286,303.4554,299.0347,1305,50.71885,35.86065,1234,101.1562,84.67627,658.6169,77.54328,48.41281,1204,79.81875,819.9519,71.62434,2105.108,77.60853,109.061,36.87237,1050,48.64687,1468,65.67737,28.41462,956.9636,169.1235,132.6068,1118,97.97833
"4",4,"Factor #4",37.8803,34,66.20876,428.3648,282.4549,268.2341,183.4162,241.9233,283.3676,113.1001,694.0594,42.97741,178.0218,1368,155.1898,258.9275,63.96894,95.71565,220.9599,653.1281,118.6315,58.58492,7308.278,93.66867,88.31327,644.5029,82.09635,39.68509,337.4123,21.20147,71.75119,244.6476,1973,143.2787,264.5317,767.311
"5",6,"Factor #6",38.0072,34,48.66363,1270.267,1128,1193,1061,1063.279,1147.133,1023,106.7171,407.2229,996.1261,112.9623,998.1028,805.4052,69.30159,482.145,1002.572,145.9691,1163.514,210.8879,1228.271,316.5473,494.0703,67.23437,991.5536,488.1972,825.476,86.77713,64.13578,1268.614,86.36901,463.6811,1184.726,113.5396
"6",5,"Factor #5",38.01,34,117.3081,570.7123,670.137,756.7146,854.8969,1043.121,1187,997.9463,172.1073,282.2292,899.638,160.4007,397.5724,826.4543,147.1808,306.7093,1244,261.5403,1440,355.3586,451.5478,242.1477,337.1016,99.41634,1318,463.1868,1281,224.0586,124.7464,1704,266.2145,348.4751,2288,225.2049
"7",7,"Factor #7",38.234,34,70.73624,64913.38,671.8876,838.5883,671.5216,1.498987e-10,635.925,1080.63,301.7819,522.6881,724.7546,591.2197,416.7416,732.4181,292.6141,651.5155,987.7623,374.4829,2409,404.45,86200.47,489.8727,484.5674,453.736,946.6528,576.3611,704.3919,225.4074,251.2168,1088,595.3608,637.6602,1351.268,460.297
"8",8,"Factor #8",38.5265,34,30.59864,3331.086,2374,2637,2620,2800,2586,3069,2305,2230,2211,2075,2744,2114,1790,2229,3042,2448,3328,2122,1845.682,2436,2242,2288,2795,2645,2500,464.2878,1936,3189,3101,2437,3192,2576
"9",9,"Factor #9",38.6654,34,31.75154,2.859395e-08,101.5662,140.2325,466.2337,1113,864.385,104.8003,219.439,358.4009,62.51557,533.973,264.877,11.1556,83.4709,256.616,237.6534,403.5688,304.9709,165.4974,350.7713,114.2654,529.3169,607.5333,566.8812,149.573,250.8746,318.0408,1208.047,752.8212,979.2372,1232.634,346.9961,1009
"10",17,"Factor #17",38.7796,34,502.3893,666.857,1035.734,1516.22,1702.462,3256,3038.103,874.1914,1979.061,2176.261,972.8682,2253.797,2096.939,842.838,1386.702,1536.716,1153.057,2386.983,1748.001,1471.32,1494.918,711.2201,1536.099,2705.99,1839.952,1276.085,987.3881,1441.762,5309.663,3729.569,2967,4102.091,1826.905,2899
"11",11,"Factor #11",38.8199,34,1127.387,1977.404,2505.659,2568.328,2581.543,4215,3058.851,1510.095,3522.282,3446.581,1467.019,3219,2935.665,1260.877,1089,2435.258,1980.615,4066,2539.686,1890.504,1938,876.4762,1747,3246,2523,1442.977,1354.26,1781.319,7690,3905,6433,4128,1874,4978
"12",19,"Factor #19",38.8203,34,863.2855,1950.239,2468.362,2403.985,2428.431,3239.083,2732.023,1279.222,2783.861,3338.029,1709.67,2897.753,2835.349,1038.286,2048.211,2435.258,1731.793,3219.454,2050.754,1833.282,1858.509,1157,1747,2621.458,1962.433,1921,1224.586,1480.382,5900.832,3100.81,5034.355,3849.512,1541.234,3806.559
"13",18,"Factor #18",38.8209,34,1127.387,1977.404,2505.659,2568.328,2581.543,4146.756,3058.851,2143.103,3522.282,3446.581,2469,3533.685,2935.665,1930.462,1386.702,2435.258,2121,4051.264,2661,1890.504,2024.614,1027.702,1765.353,3194.106,2568.322,1626.348,2433.646,1761.947,7576.554,3936.718,6398.228,4179.47,2795.241,5091.654
"14",10,"Factor #10",38.8213,34,1109,1950.239,2513,2538.683,2748,4215,3234,1526.284,3552,3233,1527.794,3359,2990,1283.962,2710,2435.258,2017.388,4056,2492.261,1890.504,2068.618,897.563,1773.754,3246,2344,1451.102,1311.878,1893,7736,4047,6433,4013,1918.478,4978
"15",16,"Factor #16",38.8219,34,1127.387,1977.404,2505.659,2568.328,2581.543,4146.756,3058.851,1530.22,3522.282,3446.581,1500.997,3533.685,2935.665,1279.856,2710,2435.258,1997.703,4051.264,2539.686,1890.504,2068.618,897.2661,1773.754,3237.552,2349.05,1475.865,1366.187,1781.319,7749.605,4047,6433,4184.897,1913.884,4978
"16",13,"Factor #13",38.8229,34,1127.387,2024,2513,2579,2581.543,4144.73,3058.851,1594.289,3447.983,3233,1674.56,3533.685,2860.199,1315.101,2571.255,2409,2070.619,3940.555,2539.686,1950,1938,1125.016,1773.754,3194.106,2411.624,1844.606,1441.975,1769.794,6527.56,3983.918,6398.228,4184.897,1965.121,4849.414
"17",12,"Factor #12",38.8275,34,437.3014,1305.075,1523.899,1429.659,1455.546,1920.24,1581.036,2686,1452.533,1497.244,2433.632,1349.289,1281.676,2003,1077.936,1067.675,2826,1715.89,2520.529,859.4606,869.5974,426.9469,786.9342,1325.659,2493,700.4418,2671,751.6694,2492.285,2998.459,2711.793,1706.413,2502,2092.656
"18",21,"Factor #21",38.8324,34,1127.387,1915.239,2452.917,2538.683,2581.543,3843.872,2414.829,1496.236,3361.416,3166.898,1359,3338.658,2659.183,1208.085,2612.367,2407.886,1969.183,3854.292,2213.197,1890.504,2024.614,871.8661,1694.854,3214.812,2273.569,1434.314,1340.727,1761.947,7003.54,3905.691,4441,3856.176,1398.154,4876.78
"19",14,"Factor #14",38.8404,34,1127.387,1977.404,2505.659,2568.328,2581.543,3762.29,631.5346,1496.236,3512.441,1339,1453.752,3533.685,2935.665,1250.561,2612.367,2435.258,1971.16,3940.555,2547,1890.504,2068.618,873.1208,1491.101,3192.076,2312.639,1437.251,1340.727,1130,6527.56,3817.945,6433,2866,1866.004,4128.491
"20",20,"Factor #20",38.9087,34,1004.106,1488.893,1846.825,1936.758,1490.167,1805.433,965.4369,736.358,2713.856,1154.043,278.9564,1272,1703.281,706.1816,1406.94,1624.804,1324.127,2168.385,829.9114,521.6376,1628.902,303.2359,1204.373,1187.067,904.4099,262.995,665.3588,762.6141,5177.623,1604.002,2845.647,1513.264,307.128,2066
"21",15,"Factor #15",38.9879,34,91.44189,306.6122,558.9986,364.4872,656.8816,932.7641,160.6636,426.3591,1178.289,794.8954,288.6468,1227,397.5019,60.53318,697.2297,498.5507,915.1645,1114.821,599.6057,233.0568,2481,33.84752,1077.316,1025.469,708.0111,256.5544,849.5633,445.129,2801.377,390.3427,1291.407,559.4926,116.5928,1310
"22",22,"Factor #22",39.0043,34,209.7291,325.3058,378.9999,389.669,699.1505,549.1876,255.1269,437.0161,863.9861,794.8954,168.7735,938.5794,397.5019,219.2868,644.6307,656.1513,920.1236,1038.869,614.2048,166.4972,1944.983,162.642,1318.567,1182,791.324,308.8697,758.8543,493.6541,1121,562.4562,833.665,632.6937,141.8285,1122.347
"23",23,"Factor #23",39.0316,34,163.9116,1279.266,1042.031,1019.263,1073.084,925.4663,1015,1039.398,274.673,1941,892.2489,168.5091,1489,996.7473,168.6817,1926,1064.303,292.6714,597.4571,448.8935,2126.665,1552,3682,376.8872,971.7717,2038,1520,335.513,352.1164,836.0359,174.667,2390,1007.161,323.4291
"24",24,"Factor #24",39.0393,34,90.31411,286.8364,189.4491,181.4939,268.8133,144.5386,179.5869,295.6945,138.8013,404.0409,150.3998,395.0245,285.8645,134.985,399.0077,426.7576,720.1561,213.6333,338.2716,284.9316,2605.684,346.6298,1662,609.6601,389.0914,373.5158,665.157,165.2131,210.7144,197.181,216.7249,401.7829,171.0966,1124
"25",25,"Factor #25",39.1963,34,150.4648,922.9923,1049.852,990.3677,1079.524,657.05,727.0804,802.5209,596.8596,2169.346,652.976,1044.23,2460,791.3582,377.2218,2289,428.7184,595.3603,199.8293,1823,2722.209,1806,2274,652.2328,696.8362,2371,499.287,214.6795,343.3726,567.5773,1206.25,2315,346.0251,516.2151
"26",27,"Factor #27",39.2351,34,308.7355,1659.543,1389.657,1324.539,992.4476,1248.251,776.4801,1592.742,1149,1263.645,1328.423,1886.624,1406.032,1327.46,1240.811,1167.195,1656.852,1042.509,1308.636,1163.63,1226.166,1082.891,1305.485,1089,1380.688,849.2354,1290.867,369.8157,486.614,1064.004,2122.821,1143.009,1389.446,456.8715
